,Rank,Name,Image,Updated Date,Tier
1,1,Marshal,https://www.animalcrossingportal.com/images/villagers/icons/marshal.png,15th May 2020,Tier 1
2,2,Raymond,https://www.animalcrossingportal.com/images/villagers/icons/raymond.png,15th May 2020,Tier 1
3,3,Sherb,https://www.animalcrossingportal.com/images/villagers/icons/sherb.png,15th May 2020,Tier 1
4,4,Zucker,https://www.animalcrossingportal.com/images/villagers/icons/zucker.png,15th May 2020,Tier 1
5,5,Beau,https://www.animalcrossingportal.com/images/villagers/icons/beau.png,15th May 2020,Tier 1
6,6,Marina,https://www.animalcrossingportal.com/images/villagers/icons/marina.png,15th May 2020,Tier 1
7,7,Judy,https://www.animalcrossingportal.com/images/villagers/icons/judy.png,15th May 2020,Tier 1
8,8,Audie,https://www.animalcrossingportal.com/images/villagers/icons/audie.png,15th May 2020,Tier 1
9,9,Fauna,https://www.animalcrossingportal.com/images/villagers/icons/fauna.png,15th May 2020,Tier 1
10,10,Coco,https://www.animalcrossingportal.com/images/villagers/icons/coco.png,15th May 2020,Tier 1
11,11,Stitches,https://www.animalcrossingportal.com/images/villagers/icons/stitches.png,15th May 2020,Tier 1
12,12,Bob,https://www.animalcrossingportal.com/images/villagers/icons/bob.png,15th May 2020,Tier 1
13,13,Merengue,https://www.animalcrossingportal.com/images/villagers/icons/merengue.png,15th May 2020,Tier 1
14,14,Lucky,https://www.animalcrossingportal.com/images/villagers/icons/lucky.png,15th May 2020,Tier 1
15,15,Roald,https://www.animalcrossingportal.com/images/villagers/icons/roald.png,15th May 2020,Tier 1
16,1,Ankha,https://www.animalcrossingportal.com/images/villagers/icons/ankha.png,15th May 2020,Tier 2
17,2,Molly,https://www.animalcrossingportal.com/images/villagers/icons/molly.png,15th May 2020,Tier 2
18,3,Lolly,https://www.animalcrossingportal.com/images/villagers/icons/lolly.png,15th May 2020,Tier 2
19,4,Julian,https://www.animalcrossingportal.com/images/villagers/icons/julian.png,15th May 2020,Tier 2
20,5,Pietro,https://www.animalcrossingportal.com/images/villagers/icons/pietro.png,15th May 2020,Tier 2
21,6,Punchy,https://www.animalcrossingportal.com/images/villagers/icons/punchy.png,15th May 2020,Tier 2
22,7,Tangy,https://www.animalcrossingportal.com/images/villagers/icons/tangy.png,15th May 2020,Tier 2
23,8,Dom,https://www.animalcrossingportal.com/images/villagers/icons/dom.png,15th May 2020,Tier 2
24,9,Cherry,https://www.animalcrossingportal.com/images/villagers/icons/cherry.png,15th May 2020,Tier 2
25,10,Diana,https://www.animalcrossingportal.com/images/villagers/icons/diana.png,15th May 2020,Tier 2
26,11,Erik,https://www.animalcrossingportal.com/images/villagers/icons/erik.png,15th May 2020,Tier 2
27,12,Ketchup,https://www.animalcrossingportal.com/images/villagers/icons/ketchup.png,15th May 2020,Tier 2
28,13,Apollo,https://www.animalcrossingportal.com/images/villagers/icons/apollo.png,15th May 2020,Tier 2
29,14,Goldie,https://www.animalcrossingportal.com/images/villagers/icons/goldie.png,15th May 2020,Tier 2
30,15,Rosie,https://www.animalcrossingportal.com/images/villagers/icons/rosie.png,15th May 2020,Tier 2
31,16,Maple,https://www.animalcrossingportal.com/images/villagers/icons/maple.png,15th May 2020,Tier 2
32,17,Skye,https://www.animalcrossingportal.com/images/villagers/icons/skye.png,15th May 2020,Tier 2
33,18,Kyle,https://www.animalcrossingportal.com/images/villagers/icons/kyle.png,15th May 2020,Tier 2
34,19,Melba,https://www.animalcrossingportal.com/images/villagers/icons/melba.png,15th May 2020,Tier 2
35,20,Fang,https://www.animalcrossingportal.com/images/villagers/icons/fang.png,15th May 2020,Tier 2
36,21,Apple,https://www.animalcrossingportal.com/images/villagers/icons/apple.png,15th May 2020,Tier 2
37,22,Filbert,https://www.animalcrossingportal.com/images/villagers/icons/filbert.png,15th May 2020,Tier 2
38,23,Flora,https://www.animalcrossingportal.com/images/villagers/icons/flora.png,15th May 2020,Tier 2
39,24,Whitney,https://www.animalcrossingportal.com/images/villagers/icons/whitney.png,15th May 2020,Tier 2
40,25,Kabuki,https://www.animalcrossingportal.com/images/villagers/icons/kabuki.png,15th May 2020,Tier 2
41,1,Tia,https://www.animalcrossingportal.com/images/villagers/icons/tia.png,15th May 2020,Tier 3
42,2,Flurry,https://www.animalcrossingportal.com/images/villagers/icons/flurry.png,15th May 2020,Tier 3
43,3,Poppy,https://www.animalcrossingportal.com/images/villagers/icons/poppy.png,15th May 2020,Tier 3
44,4,Genji,https://www.animalcrossingportal.com/images/villagers/icons/genji.png,15th May 2020,Tier 3
45,5,Kiki,https://www.animalcrossingportal.com/images/villagers/icons/kiki.png,15th May 2020,Tier 3
46,6,Wolfgang,https://www.animalcrossingportal.com/images/villagers/icons/wolfgang.png,15th May 2020,Tier 3
47,7,Cookie,https://www.animalcrossingportal.com/images/villagers/icons/cookie.png,15th May 2020,Tier 3
48,8,Katt,https://www.animalcrossingportal.com/images/villagers/icons/katt.png,15th May 2020,Tier 3
49,9,Bam,https://www.animalcrossingportal.com/images/villagers/icons/bam.png,15th May 2020,Tier 3
50,10,Sprinkle,https://www.animalcrossingportal.com/images/villagers/icons/sprinkle.png,15th May 2020,Tier 3
51,11,Chevre,https://www.animalcrossingportal.com/images/villagers/icons/chevre.png,15th May 2020,Tier 3
52,12,Octavian,https://www.animalcrossingportal.com/images/villagers/icons/octavian.png,15th May 2020,Tier 3
53,13,Kid Cat,https://www.animalcrossingportal.com/images/villagers/icons/kid-cat.png,15th May 2020,Tier 3
54,14,Lily,https://www.animalcrossingportal.com/images/villagers/icons/lily.png,15th May 2020,Tier 3
55,15,Bluebear,https://www.animalcrossingportal.com/images/villagers/icons/bluebear.png,15th May 2020,Tier 3
56,16,Aurora,https://www.animalcrossingportal.com/images/villagers/icons/aurora.png,15th May 2020,Tier 3
57,17,Mitzi,https://www.animalcrossingportal.com/images/villagers/icons/mitzi.png,15th May 2020,Tier 3
58,18,Hornsby,https://www.animalcrossingportal.com/images/villagers/icons/hornsby.png,15th May 2020,Tier 3
59,19,Muffy,https://www.animalcrossingportal.com/images/villagers/icons/muffy.png,15th May 2020,Tier 3
60,20,Ruby,https://www.animalcrossingportal.com/images/villagers/icons/ruby.png,15th May 2020,Tier 3
61,21,Bunnie,https://www.animalcrossingportal.com/images/villagers/icons/bunnie.png,15th May 2020,Tier 3
62,22,Pekoe,https://www.animalcrossingportal.com/images/villagers/icons/pekoe.png,15th May 2020,Tier 3
63,23,Scoot,https://www.animalcrossingportal.com/images/villagers/icons/scoot.png,15th May 2020,Tier 3
64,24,Zell,https://www.animalcrossingportal.com/images/villagers/icons/zell.png,15th May 2020,Tier 3
65,25,Bill,https://www.animalcrossingportal.com/images/villagers/icons/bill.png,15th May 2020,Tier 3
66,26,Ozzie,https://www.animalcrossingportal.com/images/villagers/icons/ozzie.png,15th May 2020,Tier 3
67,27,Peanut,https://www.animalcrossingportal.com/images/villagers/icons/peanut.png,15th May 2020,Tier 3
68,28,Drago,https://www.animalcrossingportal.com/images/villagers/icons/drago.png,15th May 2020,Tier 3
69,29,Pashmina,https://www.animalcrossingportal.com/images/villagers/icons/pashmina.png,15th May 2020,Tier 3
70,30,Roscoe,https://www.animalcrossingportal.com/images/villagers/icons/roscoe.png,15th May 2020,Tier 3
71,1,Snake,https://www.animalcrossingportal.com/images/villagers/icons/snake.png,15th May 2020,Tier 4
