enrollee_id,target
16548,0.30103874
12036,0.058336828
11061,0.3184993
5032,0.026343351
17599,0.078361824
19314,0.09371078
12365,0.15235382
22696,0.14892714
16083,0.10784784
33240,0.016328605
813,0.029384695
1362,0.096541174
3821,0.13852991
26316,0.13122436
29269,0.07633516
22524,0.06659814
30407,0.054153334
863,0.037432957
27743,0.08673558
29303,0.07237928
1019,0.1885444
8819,0.7415074
5397,0.00059156405
14697,0.087274976
10407,0.04236394
19224,0.10221059
735,0.0034672534
14106,0.7811453
858,0.050780058
9061,0.039844684
12775,0.053228274
7964,0.08682081
30781,0.047118966
29346,0.13753451
17991,0.09038129
15768,0.001308111
15378,0.06897429
27248,0.07953341
5931,0.08772978
11897,0.021137625
10606,0.068757
28368,0.07859304
11081,0.057519782
19611,0.088569656
1283,0.06052379
18590,0.061761215
2076,0.07057013
19130,0.08671708
29874,0.049948093
16387,0.041678704
22536,0.080935046
30268,0.8264596
23258,0.10396407
14201,0.022778988
10551,0.14513795
28787,0.12777668
23340,0.14997731
26020,0.040999845
22989,0.021309571
14594,0.13600098
10127,0.032128
18684,0.0819513
20163,0.015461013
997,0.056595813
32505,0.24713103
28948,0.1460614
19793,0.12026033
22487,0.122764036
28765,0.036004316
28078,0.057942435
3780,0.065269195
15396,0.18990059
31167,0.04806659
8834,0.3219304
12051,0.1213958
29453,0.39502808
4305,0.1631747
28298,0.1229128
33189,2.0171394e-05
6611,0.14850108
4763,0.43757808
11459,0.057659574
4870,0.15097912
12630,0.03639927
29618,0.007886998
30033,0.103562154
25404,0.065987915
5522,0.07679238
13026,0.19177617
14788,0.22827515
8450,0.09573412
15425,0.009964801
17221,0.31460437
32535,0.11143671
3356,0.029015029
6938,0.091995895
25715,0.06143934
25064,0.13154738
29805,0.04519606
20608,0.27459967
32283,0.048022557
17793,0.108500496
1525,0.06582781
3579,0.16896173
1704,0.018138066
16657,0.22628933
21066,0.15243343
32817,0.06660524
24938,0.0062087434
2837,0.2082375
1157,0.060270645
33154,0.11345936
27434,0.082403705
15056,0.11740608
2555,0.09393105
19701,0.06453689
25529,0.074724354
17070,0.0761571
26053,0.04709208
30684,0.036544442
2815,0.060576133
31291,0.020605313
26903,0.031071419
32889,0.22690077
20873,0.16058528
27921,0.17965353
16150,0.097601585
31345,0.023260763
13375,0.14843014
12369,0.08146553
30180,0.020335384
33355,0.062088095
2417,0.051132523
30481,0.16210118
5540,0.0029629131
32713,0.25124416
263,0.20453165
20373,0.056674827
4991,0.28808385
24045,0.091263995
17697,0.14725009
30866,0.063582405
12996,0.22501093
25973,0.044965357
18035,0.23498118
8980,0.010160172
6515,0.14774384
24754,0.06289778
3901,0.054690525
8499,0.14035846
6139,0.07021729
31696,0.018779883
24611,0.05066784
18882,0.17776029
11713,0.23807184
7027,0.021074312
23513,0.046984665
3013,0.15205859
11584,0.07412733
24451,0.022073934
17738,0.10349736
30028,0.13114856
9366,0.118715145
25896,0.005783999
29281,0.13161851
31222,0.08234157
11790,0.19977488
15533,0.13596833
10055,0.08597373
32053,0.12288677
9977,0.12749952
30111,0.08972397
20140,0.27395344
24780,0.18333535
33097,0.018009732
1312,0.12478347
8694,0.19804469
14127,0.09130447
29904,0.01728367
29099,0.058396347
18616,0.07833118
31040,0.21012223
28643,0.12728305
7132,0.10289937
30579,0.025573727
19419,0.09611555
7835,0.104393594
11957,0.06967191
20303,0.03308212
20120,0.03459752
24434,0.09049087
25972,0.033193395
10442,0.08536193
24285,0.124096826
8925,0.06687656
26227,0.02048531
15960,0.0876274
28482,0.06972874
23555,0.1339048
10319,0.074295394
9717,0.1098292
24606,0.18408911
4545,0.03870701
30371,0.06523424
10309,0.028268667
11076,0.07590426
14411,0.1651186
18403,0.07747614
30763,0.09356167
10772,0.07684421
10597,0.06602825
6940,0.07047035
14149,0.27913937
30682,0.049522456
33089,0.10332628
28300,0.0703271
28024,0.0053110206
15923,0.19776553
23021,0.120453514
9271,0.20970543
24649,0.15296637
25717,0.067244835
21247,0.07895875
2302,0.040764604
32609,0.15134135
27506,0.032816656
30403,0.07387918
6612,0.06118613
14011,0.13222632
22398,0.0670181
13659,0.019920086
7087,0.045325246
33044,0.08433283
29659,0.13807118
23199,0.2291658
1093,0.049668357
12165,0.093779586
27636,0.07921914
11850,0.15006444
1929,0.020225694
31747,0.09708142
29506,4.2321328e-05
10320,0.03421279
4209,0.021149186
28190,0.38382554
26665,0.27745265
13817,0.08612372
2899,0.32957837
8530,0.2026661
28742,0.10907183
4944,0.059949078
16458,0.24357472
23632,0.17716618
7422,0.13350137
14564,0.07067194
18967,0.090423785
12862,0.17265545
18021,0.095724806
27748,0.28438857
1683,0.0126260305
13043,0.030580536
274,0.08107552
30001,0.09706392
19300,0.23353833
25154,0.18131341
1387,0.108050324
6261,0.07160228
22427,0.18999413
1348,0.08660198
23959,0.073732294
24455,0.07567816
6441,0.25986445
13576,0.074970104
21421,0.057511758
18542,0.030817905
2303,0.121524885
4541,0.16367137
22275,0.05178231
14004,0.09362367
2246,0.059508976
23304,0.529685
28181,0.08151178
28971,0.10801388
10488,0.21819536
23594,0.14523542
25132,0.09012044
11381,0.1367903
8885,0.05096644
23577,0.10112017
26207,0.09245796
11901,0.12045683
27544,0.07983933
30808,0.08582403
4629,0.059119668
8110,0.11864822
28621,0.09397873
30647,0.066018976
8427,0.1203795
14577,0.46305826
28792,0.17954662
17562,0.1196269
22218,0.1053803
4942,0.17654553
29970,0.06483677
5829,0.22692658
4243,0.113657534
7600,0.075885005
16780,0.10937434
4979,0.006859602
4473,0.07904594
13871,0.101088144
5314,0.35546407
20327,0.12205879
29210,0.42660922
10237,0.14919448
26825,0.2397326
32970,0.15810813
13250,0.2518034
7381,0.25547704
30473,0.1263927
9636,0.13287583
31683,0.117624916
19525,0.18702038
31584,0.01633668
18901,0.17928387
340,0.08973791
28881,0.3353081
29003,0.064574406
23445,0.115112625
19486,0.09561653
26531,0.14289007
15476,0.120336734
8078,0.0996916
9731,0.036727928
5959,0.10081783
10208,0.053902876
11322,0.1448787
1118,0.091293216
15482,0.15958
14191,0.058697585
31824,0.033938117
9215,0.16209969
17787,0.13212363
18472,0.21467018
1142,0.036434382
26038,0.36315617
31976,0.06996002
17174,0.049218744
819,0.29067516
3189,0.04846062
4734,0.15683992
20936,0.15248634
10966,0.16374128
21084,0.10303734
3171,0.070143044
2483,0.1781287
14282,0.061992787
5863,0.1801339
32830,0.09886985
3333,0.10728528
16152,0.025461147
9535,0.12224216
20776,0.0069020763
33351,0.17046712
19444,0.23191765
15447,0.060978007
17912,0.10039269
11109,0.014816174
21309,0.10540147
29469,0.2681856
3648,0.06244872
11115,0.09573944
14807,0.10179123
18390,0.2117689
27682,0.055080388
25516,0.29043043
27042,0.09983498
9707,0.35611445
4098,0.13199958
16288,0.07370742
29114,0.3119489
920,0.067389786
7015,0.083901085
32618,0.021860855
23029,0.026198838
1273,0.23270005
1154,0.15670578
3382,0.18622041
22533,0.11345568
16613,0.100482754
10591,0.1309822
11702,0.23863073
25036,0.21125746
25908,0.1340895
9328,0.10804219
18570,0.02859558
16377,0.1044922
1918,0.21618082
5016,0.058710855
6799,0.09674383
27432,0.06760693
5084,0.34364542
28274,0.15148376
32752,0.00355453
3515,0.03552441
23754,0.33443797
1062,0.07212548
25454,0.04868247
9996,0.07396879
6373,0.11589528
31597,0.052457787
27118,0.06659745
17264,0.021914214
13980,0.036660142
10147,0.060644
25488,0.04739921
32686,0.23937511
1493,0.1436606
1843,0.00010624786
13780,0.14851731
31797,0.17925277
18719,0.10101408
22422,0.14921549
22859,0.04497876
7547,0.070507765
11759,0.10285259
7582,0.08943802
267,0.081680775
11913,0.08522506
7978,0.23883997
27768,0.097579524
27267,0.104311496
11095,0.07079739
8372,0.10971569
5984,0.074332066
30724,0.033222266
12535,0.072893284
7622,0.06302005
26753,0.20771104
9790,0.08026076
16515,0.1500856
8569,0.3123754
7400,0.11301717
1245,0.058798704
18336,0.08111548
24528,0.25270426
1382,0.4956727
24352,0.061201937
32543,0.18167007
17036,0.12429538
18120,0.12620781
22560,0.18817809
704,0.19419484
33324,0.14823148
4329,0.23746665
21971,0.012269109
8995,0.054011248
23607,0.10803424
32701,0.19356048
6962,0.15883324
8127,0.0031553244
22658,0.07826182
18934,0.08346964
29583,0.004699349
4796,0.20481518
6116,0.057132553
24703,0.11846038
23219,0.04305493
22799,0.15664247
33160,0.046753258
18986,0.104246095
21327,0.18865372
13680,0.06411735
21825,0.11191705
2721,0.19087891
18425,0.15084311
15408,0.15032022
18326,0.34955505
10658,0.25049362
7070,0.048015755
20876,0.042923376
21114,0.14577259
8472,0.04383673
31563,0.04552294
28846,0.0932585
23053,0.13040489
32028,0.2472737
29784,0.0028901333
16997,0.014372166
18355,0.17802912
30847,0.043272763
13841,0.085520245
18197,0.0751949
28060,0.07945769
16197,0.07983078
3471,0.075013675
20009,0.058846842
